ticker,naziv,sektor,u_krugu_kompetencije,status_analize,datum_skrininga,kapije_prosle,kapije_pale,napomena
OTIS,Otis Worldwide Corporation,Industrija - liftovi/eskalatori,NE,kompletna,2026-08-15,5,0,"P/E 20.87 jeftinije od KONE/Schindler ali EPS rast je dug-finansiran buyback (FCF/akcija CAGR -0.3%); trigger za ponovni pogled: ND/EBITDA <2.0x ILI FCF/akcija realno raste 2 kvartala zaredom"
IDXX,IDEXX Laboratories Inc,Zdravstvo - veterinarska dijagnostika,NE,kompletna,2026-08-18,6,0,"Sve kapije prosle cisto (ROIC 44.2%, dug produktivan) ali najskuplja od svih analiziranih (P/E 42.12, FCF yield 2.3%); trigger za ponovni pogled: FCF yield na EV >3.5% ILI rast prihoda >10% god/god 2 kvartala zaredom"
ORLY,O'Reilly Automotive Inc,Maloprodaja - auto delovi,NE,kompletna,2026-08-20,5,0,"Kapije formalno prolaze (K1-ALT2 N/P) ali najgori EPS/FCF-po-akciji obrazac u portfoliju (EPS +9.4% CAGR, FCF/akcija -8.4% CAGR); trigger za ponovni pogled: FCF/akcija prestane da opada I operativna marza stabilna >=19.5% 2 kvartala zaredom"
FAST,Fastenal Company,Industrijska distribucija,NE,kompletna,2026-08-31,6,0,"Sve kapije prosle cisto (ROIC 32.4%, najvise marze od GWW/MSM, neto gotovina) ali skupo (P/E 45.67, PEG korigovan za split ~5.71, FCF yield 1.8% - najnizi u projektu); trigger za ponovni pogled: FCF yield na EV >2.5% ILI PEG korigovan <3.0"
V,Visa Inc.,Infrastruktura trzista - platni sistemi,DELIMICNO,kompletna,2026-08-31,6,0,"Kvalitet cak bolji od MA (nize ND/EBITDA, visa pokrivenost kamata, visa FCF konverzija) ali sektorski cap vec popunjen sa MA (docs/05 max 1 pozicija), aktivna DOJ tuzba (izgubljen motion to dismiss jun 2025) naprednija faza rizika od MA CID-a; trigger: MA teza pukne ILI DOJ razresenje ILI PEG <2.0"
MCO,Moody's Corporation,Rejting/podaci - infrastruktura trzista,NE,kompletna,2026-08-31,6,0,"ROIC 25.5% je BAS na sektorskom pragu (najslabija margina sigurnosti od 4 infra kompanije), PEG_trailing 9.94 (delom ciklicni artefakt), sektorski cap vec popunjen sa MA (docs/05 grupise MA/V/MCO); direktan par SPGI je PAO na istoj kapiji (goodwill IHS Markit); trigger: ROIC odrzi >=28% kroz pun ciklus ILI cap se oslobodi ILI PEG_forward pokaze vrednost"
ODFL,Old Dominion Freight Line Inc,Industrija - LTL teretni transport,NE,kompletna,2026-08-31,6,0,"Kapije prosle ali ROIC opada 4 od 5 god (31.3%->24.2%), Operating Ratio se pogorsava (70.6%->75.2%), prihod stagnira (CAGR 1.1%) uz PEG_trailing 19.08 - EPS rast iskljucivo od buyback-a; trigger: PEG padne na razumniji nivo ILI OR se vrati ka ~72%"
WST,West Pharmaceutical Services Inc,Zdravstvo - farmaceutska pakovanja,NE,kompletna,2026-08-31,5,1,"G4 pao (FCF konverzija 0.69) - OVERRIDE odobren (CapEx-ciklus artefakt, OCF/NI uvek >1.0), ali ROIC/marza opadaju 5 god uporno (35.3%->18.0%/26.6%->19.0%), rastuca koncentracija kod 1 kupca (10.9%->15.8%); trigger: operativna marza stabilna >=19% 2 kvartala ILI korekcija cene"
AME,AMETEK Inc,Industrija - diversifikovani instrumenti,NE,kompletna,2026-09-02,6,0,"Standardni ROIC 12.6% pada docs/05 industrijski prag (15%+) - serijski akvizitor (goodwill +37%/5god, 15 akvizicija $5.68 mlrd), ali ROIC ex-goodwill 28-30% pokazuje odlican osnovni posao; PEG 3.35; trigger: standardni ROIC >15% ILI M&A tempo uspori"
VEEV,Veeva Systems Inc,Softver - life sciences/farma cloud platforma,DA,kompletna,2026-09-02,5,1,"G1 pao (spread 2.9pp<3pp, medijana 12.0% manje od polovine docs/05 softverskog praga 25%) - OVERRIDE delimicno odobren (uzrok je gomilanje gotovine, ne pad marze koja raste 18.2%->28.7%), ali PEG 2.58/P/E 51 ne opravdava ulazak; trigger: standardni ROIC >20% ILI PEG <2.0"
ISRG,Intuitive Surgical Inc,Zdravstvo - hirurska robotika,NE,kompletna,2026-09-02,6,0,"Razor/blade model potvrdjen (recurring revenue 75%->84%), ali ROIC 15.5% ispod docs/05 praga za medicinske aparate (20%+), PEG ~3.35/P/E 47 skupo, SIS antitrust zalba nerazresena; trigger: ROIC >20% ILI PEG <2.5 ILI SIS litigacija se resi povoljno"
AMD,Advanced Micro Devices Inc,Poluprovodnici,DELIMICNO,kompletna,2026-09-03,5,1,"POSEBAN SLUCAJ - G1 pada drasticno (spread -13.2pp, ROIC ispod cene kapitala), kombinacija dubokog ciklusa i Xilinx mega-akvizicije (2022, $48.8mlrd u akcijama); ROIC ex-goodwill i dalje slab u dnu ciklusa (7.7% FY2023) ali dostize 20.1% u FY2025 (AI bum) - nije cist akvizicijski artefakt kao AME. Bez punog moat/predvidjanja seta u ovom prolazu; trigger: standardni ROIC >12% 2 kvartala ILI ROIC ex-goodwill >=20% kroz pun sledeci ciklus"
